,data
10,"A2G Music Centre (Bukit Gombak)Address: Blk 371 Bukit Batok Street 31 #02-330  , Singapore 650371 Tel: 65666080		Fax: 65666078	Email: cmsadmin@a2gmusic.com.sgSupervisor: Wong Jian Reng		Main Curriculum: FINE ARTS"
11,"A2G Music Centre (Marsiling)Address: Blk 167 Woodlands Street 11 #02-25  , Singapore 730167 Tel: 63637623		Fax: 67951131	Email: cmsadmin@a2gmusic.com.sgSupervisor: Wong Jian Reng		Main Curriculum: FINE ARTS"
12,"A2G Music Centre (Woodlands Mart)Address: Blk 768 Woodlands Avenue 6 #01-18 Woodlands Mart , Singapore 730768 Tel: 63689881		Fax: 63688292	Email: cmsadmin@a2gmusic.com.sgSupervisor: Wong Jian Reng		Main Curriculum: FINE ARTS"
13,"Able Tuition School [fka Ms Tan Chinese Tuition Centre]Address: Blk 130 Jurong East Street 13 #03-211  , Singapore 600130 Tel: 64929515		Fax: 62843691	Email: ableorder@gmail.comSupervisor: Xu Zhong Min		Main Curriculum: TUTORIAL"
14,"Abrakadoodle Art Studio for Kids (Rochester)Address: 35 Rochester Drive #03-23 The Rochester , Singapore 138639 Tel: 66848533		Fax: 	Email: rochester@abrakadoodle.com.sgSupervisor: Tan Fay Xaing (Mdm)		Main Curriculum: ENRICHMENT"
15,"Abrakadoodle Art Studio for Kids (Singapore)Address: 501 Bukit Timah Road #02-13/15 Cluny Court , Singapore 259760 Tel: 67639219		Fax: 67639219	Email: ckhaw@abrakadoodle.com.sgSupervisor: Khaw Sing Ping, Charmaine (Mdm)		Main Curriculum: ENRICHMENT"
16,"Absolute Learning CentreAddress: Blk 463 Crawford Lane #02-13  , Singapore 190463 Tel: 91898535		Fax: 	Email: absolutelearningcentre@gmail.comSupervisor: Sim Heng Lian (Miss)		Main Curriculum: TUTORIAL"
17,"Absolutely Love Learning CampusAddress: Blk 46 Jalan Bukit Ho Swee #01-876  , Singapore 160046 Tel: 69067033		Fax: 	Email: enquirytiongbahru@seriouslyaddictivemaths.com.sgSupervisor: Lee Hok Hiung		Main Curriculum: TUTORIAL"
18,"Academia Education Centre [fka Academia English & Writing Centre]Address: (Main) 6 Sin Ming Road #01-15 Sin Ming Plaza , Singapore 575585 Tel: 65544374		Fax: 	Email: secretary@academia.com.sgSupervisor: Loh Runming, Johann		Main Curriculum: TUTORIAL"
19,"Academia Education Centre [fka Academia English & Writing Centre]Address: 11 Sin Ming Road #B1-11 Thomson V Two , Singapore 575629 Tel: 65544374		Fax: 	Email: jl@academia.com.sgSupervisor: Loh Runming, Johann		Main Curriculum: TUTORIAL"
20,"Academy of RockAddress: (Main) 187 Thomson Road Goldhill Shopping Centre , Singapore 307630 Tel: 62508987		Fax: 67220626	Email: affandy@academyofrock.com.sgSupervisor: Lim Kok Soon		Main Curriculum: FINE ARTS"
21,"Academy of RockAddress: 707 East Coast Road  , Singapore 459063 Tel: 62508987		Fax: 67220626	Email: Charles.aor@gmail.comSupervisor: Lim Kok Soon		Main Curriculum: FINE ARTS"
22,"Ace Scorers Enrichment CentreAddress: 2A Maju Avenue Serangoon Garden Estate , Singapore 556680 Tel: 62894551		Fax: 63823220	Email: acescorers@hotmail.comSupervisor: Lee Yun Yee, Joyce (Miss)		Main Curriculum: TUTORIAL"
23,"Achievers Dream Learning CentreAddress: 9 Jalan Bingka #01-01 Mayfair Park , Singapore 588905 Tel: 96964881		Fax: 	Email: admin@achieversdream.com.sgSupervisor: Lie Yan Cong, Jerald		Main Curriculum: TUTORIAL"
24,"Achievers Journey Tuition CentreAddress: Blk 406 Jurong West Street 42 #01-595  , Singapore 640406 Tel: 64256771		Fax: 	Email: achieversjourney@gmail.comSupervisor: Han Jie Yun, Jessy (Mdm)		Main Curriculum: TUTORIAL"
25,"Achievia Education HubAddress: Blk 129 Kim Tian Road #01-133  , Singapore 160129 Tel: 67951193		Fax: 	Email: enquiry@achievia.com.sgSupervisor: Koh Ji Gang, Derrick		Main Curriculum: TUTORIAL"
26,"Acropolis English Language CentreAddress: Blk 261 Waterloo Street #02-42  , Singapore 180261 Tel: 63444494		Fax: 63363964	Email: aisah@acropolis.com.sgSupervisor: Aisah Matthew (Mrs)		Main Curriculum: LINGUISTICS"
27,"Acuteen Learning HubAddress: Blk 856E Tampines Street 82 #01-208  , Singapore 525856 Tel: 67860574		Fax: 67860574	Email: info@acuteen.com.sgSupervisor: Sng Siew Tin (Mdm)		Main Curriculum: TUTORIAL"
28,"Adam Khoo Learning Centre (River Valley)Address: 491 River Valley Road #01-10 Valley Point Shopping Centre , Singapore 248371 Tel: 67349431		Fax: 	Email: rivervalley@aklc.comSupervisor: Chua Puay Joo, Lily (Mdm)		Main Curriculum: TUTORIAL"
29,"Advanced Learning CentreAddress: Blk 553 Hougang Street 51 #B1-270  , Singapore 530553 Tel: 63875997		Fax: 63283348	Email: Supervisor: Allan Tan Hock Huat		Main Curriculum: TUTORIAL"
30,"Aekedim Tutorial CentreAddress: 11 Sin Ming Road #B1-21/24 Thomson V Two , Singapore 575629 Tel: 69700089		Fax: 	Email: aekedimtutorial@gmail.comSupervisor: Woo Chooi Yin (Ms)		Main Curriculum: TUTORIAL"
31,"Aestral Private SchoolAddress: Blk 273 Bukit Batok East Avenue 4 #02-80  , Singapore 650273 Tel: 65674119		Fax: 	Email: info@aestral.edu.sgSupervisor: Ratna Ramachandran		Main Curriculum: TUTORIAL"
32,"Affinity Education PlaceAddress: 420 North Bridge Road #06-33 North Bridge Centre , Singapore 188727 Tel: 65540236		Fax: 	Email: affinityep@hotmail.comSupervisor: Quek Ee Meng		Main Curriculum: ENRICHMENT"
33,"AFI Education CentreAddress: Blk 5 Everton Park #01-30  , Singapore 080005 Tel: 63279628		Fax: 63279398	Email: afiedu@singnet.com.sgSupervisor: Chen Ivy (Mdm)		Main Curriculum: TUTORIAL"
34,"Afterskool Learning CentreAddress: Blk 31 Holland Close #01-215  #01-217, Singapore 270031 Tel: 66567781		Fax: 	Email: peggy@afterskool.com.sgSupervisor: Lee Jun-Shen, Alex		Main Curriculum: TUTORIAL"
35,"Agape Learning CentreAddress: Blk 118 Aljunied Avenue 2 #01-138  , Singapore 380118 Tel: 67448281		Fax: 67448281	Email: office@agapelearning.sgSupervisor: Chong Hon Leong		Main Curriculum: TUTORIAL"
36,"Agape Music SchoolAddress: Blk 203 Hougang Street 21 #06-33+H92-67  , Singapore 530203 Tel: 62861358		Fax: 62861358	Email: myagapems@yahoo.comSupervisor: Yeh Eng Siong		Main Curriculum: FINE ARTS"
37,"AGP Education Centre [fka Le Hua Tutorial Centre]Address: 405 Joo Chiat Road #01-01 Joo Chiat Community Club , Singapore 427633 Tel: 97802856		Fax: 	Email: maylee_d_m@yahoo.com.sgSupervisor: Li Dongmei (Ms)		Main Curriculum: TUTORIAL"
38,"AGrader Learning CentreAddress: 6 Jurong West Avenue 1 #B1-00 Jurong Green Community Club , Singapore 649520 Tel: 65672377		Fax: 	Email: admin@agrader.sgSupervisor: Soh Ee-Kjan		Main Curriculum: TUTORIAL"
39,"Agraganya Centre for EducationAddress: 55 Siglap Road #02-22 Siglap Centre , Singapore 455871 Tel: 97854949		Fax: 	Email: agraganya@hotmail.comSupervisor: Vani Gunasingham (Mrs)		Main Curriculum: TUTORIAL"
40,"Ai Zi Learning CentreAddress: Blk 206 Toa Payoh North #01-1207  , Singapore 310206 Tel: 62568843		Fax: 62510140	Email: aizilearningcentre@gmail.comSupervisor: Long Yee Leng (Mdm)		Main Curriculum: TUTORIAL"
41,"AIM Learning HubAddress: Blk 163 Ang Mo Kio Avenue 4 #01-424  , Singapore 560163 Tel: 68869168		Fax: 	Email: nicklaus@aimlearning.com.sgSupervisor: Tan Chin Giap		Main Curriculum: TUTORIAL"
42,"Aim-A Tuition CentreAddress: Blk 230 Choa Chu Kang Central #B1-163  , Singapore 680230 Tel: 67621163		Fax: 	Email: Supervisor: Goh Lee Hong (Miss)		Main Curriculum: TUTORIAL"
43,"Aim-A Tuition Centre (Pasir Ris)Address: Blk 220 Pasir Ris Street 21 #01-170  , Singapore 510220 Tel: 65826455		Fax: 	Email: Supervisor: Goh Lee Hong (Miss)		Main Curriculum: TUTORIAL"
44,"All Nihon Japanese Language CentreAddress: Blk 114 Ang Mo Kio Avenue 4 #01-365 Kebun Baru Heights , Singapore 560114 Tel: 69097507		Fax: 	Email: anjlanguage@yahoo.co.jpSupervisor: Neo Chee Keong		Main Curriculum: LINGUISTICS"
45,"Allegro Education CentreAddress: Blk 198 Punggol Field #02-05  , Singapore 820198 Tel: 68756971		Fax: 68756971	Email: allegroeducation@gmail.comSupervisor: Ng Jing Yi, Alethea (Mdm)		Main Curriculum: TUTORIAL"
46,"Alliance Education CentreAddress: 2 Jalan Lokam #01-12 Kensington Square , Singapore 537846 Tel: 68817644		Fax: 	Email: enquiries@alliance-edu.sgSupervisor: Chen Yong		Main Curriculum: TUTORIAL"
47,"Alpha Language SchoolAddress: 20 Maxwell Road #08-11 Maxwell House , Singapore 069113 Tel: 97624040		Fax: 	Email: wordwiseconsultancy@gmail.comSupervisor: Du Meiting (Ms)		Main Curriculum: LINGUISTICS"
48,"Andrew Er Learning HubAddress: 16A Yio Chu Kang Road #01-16A  , Singapore 545528 Tel: 63822927		Fax: 63822972	Email: aelearninghub@gmail.comSupervisor: Andrew Er		Main Curriculum: TUTORIAL"
49,"Andrew Yap Education CentreAddress: Blk 302 Ang Mo Kio Avenue 3 #01-1842  , Singapore 560302 Tel: 83881912		Fax: 	Email: tuitionprince@yahoo.comSupervisor: Yap Yew Sun, Andrew		Main Curriculum: TUTORIAL"
50,"AOBA Language CentreAddress: 91 Bencoolen Street #02-04 Sunshine Plaza , Singapore 189652 Tel: 63340123		Fax: 63342664	Email: info@aoba.com.sgSupervisor: Tsuchiya Kazue (Ms)		Main Curriculum: LINGUISTICS"
51,"Apcot Learning CentreAddress: Blk 135 Jurong East Street 13 #04-339  , Singapore 600135 Tel: 64400050		Fax: 64404172	Email: ablc7777@singnet.com.sgSupervisor: Goh Whee Noi, Josephine (Ms)		Main Curriculum: ENRICHMENT"
52,"Apeiron Education CentreAddress: Blk 519 Jurong West Street 52 #01-159  , Singapore 640519 Tel: 66742131		Fax: 	Email: enquiry@apeironeducation.com.sgSupervisor: Chee Po Lean (Mdm)		Main Curriculum: TUTORIAL"
53,"Apex Educational CentreAddress: Blk 806 Hougang Central #03-148  , Singapore 530806 Tel: 63869006		Fax: 	Email: Supervisor: Liew Kim Tiong		Main Curriculum: TUTORIAL"
54,"Apple Plus SchoolAddress: 170 Upper Bukit Timah Road #B2-07 Bukit Timah Shopping Centre , Singapore 588179 Tel: 62861518		Fax: 62861518	Email: appleplusschool@yahoo.com.cnSupervisor: Geng Changqing (Mdm)		Main Curriculum: ENRICHMENT"
55,"Apple Plus School (Jurong)Address: 6 Jurong West Avenue 1 #02-03 Hong Kah East Community Club , Singapore 649520 Tel: 65694728		Fax: 	Email: Jurong@appleplusschool.com.sgSupervisor: Poh Boon Yan (Mdm)		Main Curriculum: ENRICHMENT"
56,"Apple Plus School (Serangoon)Address: 10A Maju Avenue Serangoon Garden Estate , Singapore 556688 Tel: 62851598		Fax: 62851598	Email: appleplusschool@yahoo.com.cnSupervisor: Geng Changqing (Mdm)		Main Curriculum: ENRICHMENT"
57,"Apple Plus School (Tampines)Address: 1 Tampines Central 5 #03-14 CPF Tampines Building , Singapore 529508 Tel: 62601528		Fax: 62601528	Email: appleplusschool@yahoo.com.cnSupervisor: Geng Changqing (Mdm)		Main Curriculum: ENRICHMENT"
58,"Apple Plus School (West Coast)Address: Blk 721 Clementi West Street 2 #01-122  , Singapore 120721 Tel: 67779976		Fax: 67779976	Email: lynn.mindsbuild@gmail.comSupervisor: Ang Mui Ling (Miss)		Main Curriculum: ENRICHMENT"
59,"A-Prime Learning CentreAddress: 557 Bukit Timah Road #02-08 Crown Centre , Singapore 269694 Tel: 64670300		Fax: 63486610	Email: Supervisor: Kok Chee Kiong		Main Curriculum: TUTORIAL"
60,"Arts of the Earth Learning HubAddress: Blk 268 Upper Bukit Timah Road #01-09  , Singapore 588210 Tel: 63148481		Fax: 63148481	Email: info@artsoftheearth.comSupervisor: Joosa, Esther Cornelia nee Kok (Mrs)		Main Curriculum: ENRICHMENT"
61,"Artstratosphere Music SchoolAddress: 1124 Serangoon Road  , Singapore 328208 Tel: 62841092		Fax: 62841094	Email: manager@artstratosphere.comSupervisor: Thum Soon Boon		Main Curriculum: FINE ARTS"
62,"Ascend Learning CentreAddress: Blk 508 Bishan Street 11 #01-390A (2nd Storey)  , Singapore 570508 Tel: 63543391		Fax: 	Email: Supervisor: Leong Ann May (Miss)		Main Curriculum: TUTORIAL"
63,"Ascensia Learning CentreAddress: 1 Fusionopolis Way #B2-02/03/04/05 Connexis , Singapore 138632 Tel: 64725640		Fax: 67738796	Email: tanwn@ascensia.com.sgSupervisor: Tan Wee Nam (Miss)		Main Curriculum: TUTORIAL"
64,"Asia Music SchoolAddress: Blk 925 Yishun Central 1 #01-231  , Singapore 760925 Tel: 67561265		Fax: 67561265	Email: asiamusic@live.cnSupervisor: Gao Yujing (Miss)		Main Curriculum: FINE ARTS"
65,"Asia Music School (West Coast Branch)Address: 154 West Coast Road #01-61 West Coast Plaza , Singapore 127371 Tel: 67795065		Fax: 67782367	Email: asiamusic@live.cnSupervisor: Gao Yujing (Mdm)		Main Curriculum: FINE ARTS"
66,"Aspen Learning CentreAddress: (Main) 80 Marine Parade Road #07-09 Parkway Parade , Singapore 449269 Tel: 68832338		Fax: 68832298	Email: mayyin@aspen.com.sgSupervisor: Tay May Yin (Mdm)		Main Curriculum: TUTORIAL"
67,"Aspen Learning CentreAddress: 231A Victoria Street, 2nd Storey Bugis Village , Singapore 188025 Tel: 68832338		Fax: 	Email: mayyin@aspen.com.sgSupervisor: Tay May Yin (Mdm)		Main Curriculum: TUTORIAL"
68,"Aspire Hub Education AcademyAddress: (Main) 23 Serangoon Central #04-79 Nex , Singapore 556083 Tel: 66342412		Fax: 66342414	Email: enquiries@aspirehub.comSupervisor: Tan Tow Chun		Main Curriculum: TUTORIAL"
69,"Aspire Hub Education AcademyAddress: 61 Ang Mo Kio Avenue 8 #03-04/05  , Singapore 569814 Tel: 62744063		Fax: 	Email: enquiries@aspirehub.comSupervisor: Tan Tow Chun		Main Curriculum: TUTORIAL"
70,"Aspire Hub Education School [fka Aspire Hub Learning Centre]Address: (Main) Blk 122 Bukit Merah Lane 1 #01-54/56/58  , Singapore 150122 Tel: 63777315		Fax: 62722538	Email: info@aspirehub.comSupervisor: Tan Tow Chun		Main Curriculum: TUTORIAL"
71,"Aspire Hub Education School [fka Aspire Hub Learning Centre]Address: 144 Upper Bukit Timah Road #03-06A Beauty World Centre , Singapore 588177 Tel: 63777319		Fax: 	Email: info@aspirehub.comSupervisor: Tan Tow Chun		Main Curriculum: TUTORIAL"
72,"Aspire Hub Education School [fka Aspire Hub Learning Centre]Address: Blk 482 Jurong West Street 41 #01-258  , Singapore 640482 Tel: 63777319		Fax: 	Email: info@aspirehub.comSupervisor: Tan Tow Chun		Main Curriculum: TUTORIAL"
73,"Asta School of Business & Technology [fka Growth Language Centre]Address: Blk 131 Jurong Gateway Road #04-265  #04-267, Singapore 600131 Tel: 65670123		Fax: 65610024	Email: admin@astaschool.edu.sgSupervisor: Tan Chun Wei (Mdm)		Main Curriculum: INFORMATION TECHNOLOGY"
74,"Axcell Tuition CentreAddress: Blk 171 Stirling Road #01-1113  , Singapore 140171 Tel: 64756513		Fax: 	Email: axcell.edu@gmail.comSupervisor: Lau Boon Long		Main Curriculum: TUTORIAL"
75,"Axcell Tuition Centre (Jurong East)Address: Blk 237 Jurong East Street 21 #01-400  , Singapore 600237 Tel: 64255284		Fax: 	Email: axcell.jurongeast.edu@gmail.comSupervisor: Lau Boon Long		Main Curriculum: TUTORIAL"
76,"AZKEN Learning CenterAddress: Blk 163 Ang Mo Kio Avenue 4 #01-430  , Singapore 560163 Tel: 64520747		Fax: 	Email: enquiries@azken.com.sgSupervisor: Ho Mei Yee (Mdm)		Main Curriculum: TUTORIAL"
77,"Balestier-Whampoa Learning CentreAddress: 221 Balestier Road #02-06 Rocca Balestier , Singapore 329928 Tel: 62566621		Fax: 	Email: nurture@advanced-learners.comSupervisor: Ng Kong Phui		Main Curriculum: ENRICHMENT"
78,"Bamboo Green Education HubAddress: Blk 809 Hougang Central #03-178  , Singapore 530809 Tel: 69883144		Fax: 	Email: bamboogreen.hg@gmail.comSupervisor: Tan Sin Ming		Main Curriculum: TUTORIAL"
79,"Banyan Tree Education CentreAddress: Blk 111 Jalan Bukit Merah #01-1674/76  , Singapore 160111 Tel: 62768817		Fax: 	Email: bojun0417@hotmail.comSupervisor: Bo Jun (Mdm)		Main Curriculum: TUTORIAL"
80,"Basecamp Learning CentreAddress: 865 Mountbatten Road #05-01 Katong Shopping Centre , Singapore 437844 Tel: 68143787		Fax: 	Email: admin@basecamp.sgSupervisor: Wong Weng Kuan, Caleb		Main Curriculum: TUTORIAL"
81,"Beacon Plus Education CentreAddress: 70 Martaban Road  , Singapore 328667 Tel: 63385595		Fax: 68844895	Email: lee@beacon.edu.sgSupervisor: Lee Hian @ Lee Yock Eng (Mdm)		Main Curriculum: TUTORIAL"
82,"Beautyful Minds Educational CentreAddress: 80 Marine Parade Road #14-07 Parkway Parade , Singapore 449269 Tel: 63444908		Fax: 	Email: zzneo@beautyfulminds.com.sgSupervisor: Cheong Chew Ling (Miss)		Main Curriculum: TUTORIAL"
83,"Bedok Central Learning CentreAddress: Blk 203 Bedok North Street 1 #01-459 (2nd Storey)  , Singapore 460203 Tel: 64489133		Fax: 64489133	Email: lawtsang@singnet.com.sgSupervisor: Lim Hui Kiang (Miss)		Main Curriculum: ENRICHMENT"
84,"Beijing Language SchoolAddress: (Main) Blk 118 Rivervale Drive #02-21/22 Rivervale Plaza , Singapore 540118 Tel: 63159719		Fax: 	Email: beijinglanguage@yahoo.com.sgSupervisor: Lu Yan (Mdm)		Main Curriculum: LINGUISTICS"
85,"Beijing Language SchoolAddress: 1 Jurong West Central 2 #01-17A Jurong Point , Singapore 648886 Tel: 69049934		Fax: 65870751	Email: beijinglanguage@yahoo.com.sgSupervisor: Lu Yan (Mdm)		Main Curriculum: LINGUISTICS"
86,"Beijing Language SchoolAddress: 1 Pasir Ris Central Street 3 #05-04  , Singapore 518457 Tel: 65820949		Fax: 	Email: beijinglanguage@yahoo.com.sgSupervisor: Lu Yan (Mdm)		Main Curriculum: LINGUISTICS"
87,"Beijing Language SchoolAddress: 2 Sengkang Square #01-04  , Singapore 545025 Tel: 63159719		Fax: 	Email: beijinglanguage@yahoo.com.sgSupervisor: Lu Yan (Mdm)		Main Curriculum: LINGUISTICS"
88,"Beijing Language SchoolAddress: 83 Punggol Central #02-01 Watertown , Singapore 828761 Tel: 63158406		Fax: 	Email: beijinglanguage@yahoo.com.sgSupervisor: Lu Yan (Mdm)		Main Curriculum: LINGUISTICS"
89,"Beijing Language SchoolAddress: Blk 168 Punggol Field #04-08B Punggol Plaza , Singapore 820168 Tel: 63158405		Fax: 	Email: beijinglanguage@yahoo.com.sgSupervisor: Lu Yan (Mdm)		Main Curriculum: LINGUISTICS"
90,"Beijing Language SchoolAddress: Blk 477 Tampines Street 43 #01-176  , Singapore 520477 Tel: 65870752		Fax: 	Email: beijinglanguage@yahoo.com.sgSupervisor: Lu Yan (Mdm)		Main Curriculum: LINGUISTICS"
91,"Bentley Education CentreAddress: 192 Waterloo Street #07-02/03/04/05 Skyline Building , Singapore 187966 Tel: 63385611		Fax: 63382545	Email: joddypang@hotmail.comSupervisor: Pang Phui Kay (Miss)		Main Curriculum: ENRICHMENT"
92,"Berlitz Language CentreAddress: 391B Orchard Road #16-01/02 Tower B Ngee Ann City , Singapore 238874 Tel: 67337472		Fax: 67337805	Email: study@berlitz.com.sgSupervisor: Bajan Kur @ Polly Kur Chan (Mdm)		Main Curriculum: LINGUISTICS"
93,"Berries World of Learning School (AR)Address: 460 Alexandra Road #03-02/03 PSA Building , Singapore 119963 Tel: 62711755		Fax: 62711154	Email: Alexandra@berriesworld.comSupervisor: Chiew Eng Lay, Mandy (Mdm)		Main Curriculum: LINGUISTICS"
94,"Berries World of Learning School (BB)Address: 21 Bukit Batok Central #02-02 Bukit Batok Community Club #03-03/04, Singapore 659959 Tel: 65622232		Fax: 65659768	Email: bukitbatok@berriesworld.comSupervisor: Liew Tsuey Fung (Mdm)		Main Curriculum: LINGUISTICS"
95,"Berries World of Learning School (BJ)Address: Blk 134 Jurong Gateway Road #03-309R  , Singapore 600134 Tel: 68972232		Fax: 64660005	Email: berriesbj@singnet.com.sgSupervisor: Liew Tsuey Fung (Mdm)		Main Curriculum: LINGUISTICS"
96,"Berries World of Learning School (CW)Address: 154 West Coast Road #B1-19A West Coast Plaza , Singapore 127371 Tel: 67758990		Fax: 67736393	Email: westcoast@berriesworld.comSupervisor: Doreen Koh (Mdm)		Main Curriculum: LINGUISTICS"
97,"Berries World of Learning School (CW612)Address: Blk 612 Clementi West Street 1 #01-296/298  , Singapore 120612 Tel: 62509183		Fax: 62509539	Email: westcoast612@berriesworld.comSupervisor: Koh Doreen (Mdm)		Main Curriculum: LINGUISTICS"
98,"Berries World of Learning School (DBY)Address: 293 Lorong 6 Toa Payoh #02-04 SAFRA Clubhouse , Singapore 319387 Tel: 62522110		Fax: 62524300	Email: tpysafra@berriesworld.comSupervisor: Li Wai Lan, Wynne (Mdm)		Main Curriculum: LINGUISTICS"
99,"Berries World of Learning School (International) [fka Children's Language School]Address: Blk 308 River Valley Road #01-02/03/04  , Singapore 238349 Tel: 67359628		Fax: 67358257	Email: berriesintl@berriesworld.comSupervisor: Li Wai Lan, Wynne (Mdm)		Main Curriculum: LINGUISTICS"
100,"Berries World of Learning School (JKB)Address: 107 & 109 Jalan Kembangan  , Singapore 419145 Tel: 62435525		Fax: 	Email: kembangan@berriesworld.comSupervisor: Li Wai Lan, Wynne (Mdm)		Main Curriculum: LINGUISTICS"
101,"Berries World of Learning School (JT11)Address: Blk 507 Bishan Street 11 #01-392/394/396 (2nd Storey)  , Singapore 570507 Tel: 62548225		Fax: 64513774	Email: yanyi@clsintl,comSupervisor: Li Wai Lan, Wynne (Mdm)		Main Curriculum: LINGUISTICS"
102,"Berries World of Learning School (JT23)Address: Blk 221 Bishan Street 23 #B1-183  , Singapore 570221 Tel: 62548225		Fax: 	Email: berriesjt23@berriesworld.comSupervisor: Li Wai Lan, Wynne (Mdm)		Main Curriculum: LINGUISTICS"
103,"Berries World of Learning School (KB)Address: 5 Lengkong Tiga #02-01 Kampong Kembangan Community Club , Singapore 417408 Tel: 62435822		Fax: 62436169	Email: kembangancc@berriesworld.comSupervisor: Li Wai Lan, Wynne (Mdm)		Main Curriculum: LINGUISTICS"
104,"Berries World of Learning School (MB)Address: 231 Mountbatten Road #03-07/08 Mountbatten Centre, Block A , Singapore 397999 Tel: 62477276		Fax: 62477800	Email: berriesmb@berriesworld.comSupervisor: Li Wai Lan, Wynne (Mdm)		Main Curriculum: LINGUISTICS"
105,"Berries World of Learning School (NE)Address: Blk 837 Hougang Central #01-527  , Singapore 530837 Tel: 63851614		Fax: 63851614	Email: bhougang@singnet.com.sgSupervisor: Ang Guan Seng		Main Curriculum: LINGUISTICS"
106,"Berries World of Learning School (PCC)Address: 1187 Upper Serangoon Road #02-22/23/24 The Midtown , Singapore 533971 Tel: 63873008		Fax: 	Email: punggolcc@berriesworld.comSupervisor: Ang Guan Seng		Main Curriculum: LINGUISTICS"
107,"Berries World of Learning School (TAS)Address: 101 Cantonment Road #01-03 Tanjong Pagar Community Club , Singapore 089774 Tel: 62200078		Fax: 62200755	Email: tanjongpagarcc@berriesworld.comSupervisor: Ng Sock Ling (Mdm)		Main Curriculum: LINGUISTICS"
108,"Berries World of Learning School (TCC)Address: Blk 3 Queen's Road #02-149 & #02-157  #02-147, Singapore 260003 Tel: 62562070		Fax: 64734663	Email: tanglincc@berriesworld.comSupervisor: Li Wai Lan, Wynne (Mdm)		Main Curriculum: LINGUISTICS"
109,"Berries World of Learning School (Thomson)Address: Blk 116 Bishan Street 12 #01-26  , Singapore 570116 Tel: 65541729		Fax: 63257450	Email: bishan@berriesworld.comSupervisor: Li Wai Lan, Wynne (Mdm)		Main Curriculum: LINGUISTICS"
110,"Berries World of Learning School (TPCL)Address: 2 Tampines Central 6 #05-01/02 NTUC Income Tampines Point , Singapore 529483 Tel: 67828878		Fax: 67898878	Email: bwtpcl@singnet.com.sgSupervisor: Ang Siang Hwee (Mdm)		Main Curriculum: LINGUISTICS"
111,"Berries World of Learning School (Tpn) [fka Children's Language School (Tampines)]Address: 1 Pasir Ris Close #03-111 E!Hub@Downtown East , Singapore 519599 Tel: 67830873		Fax: 63846224	Email: tampines@berriesworld.comSupervisor: Ang Siang Hwee (Mdm)		Main Curriculum: LINGUISTICS"
112,"Berries World of Learning School (WDL)Address: 18 Yishun Avenue 9 #01-78/79 & #01-82 Junction Nine , Singapore 768897 Tel: 63631231		Fax: 	Email: berrieswdl@berriesworld.comSupervisor: Chan Poe Mun (Ms)		Main Curriculum: LINGUISTICS"
