name,address,tel,tel_alt,fax,fax_alt,email,supervisor,curriculum,lat,lng
Academia Education Centre [fka Academia English & Writing Centre],"11 Sin Ming Road #B1-11 Thomson V Two , Singapore 575629",65544374,NA,NA,NA,jl@academia.com.sg,"Loh Runming, Johann",TUTORIAL,1.3534166099506,103.83554715652399
Academy of Rock,"(Main) 187 Thomson Road Goldhill Shopping Centre , Singapore 307630",62508987,NA,67220626,NA,affandy@academyofrock.com.sg,Lim Kok Soon,FINE ARTS,1.31857875371493,103.84344757137801
Academy of Rock,"707 East Coast Road  , Singapore 459063",62508987,NA,67220626,NA,Charles.aor@gmail.com,Lim Kok Soon,FINE ARTS,1.3120811925631297,103.922407837792
Ace Scorers Enrichment Centre,"2A Maju Avenue Serangoon Garden Estate , Singapore 556680",62894551,NA,63823220,NA,acescorers@hotmail.com,"Lee Yun Yee, Joyce (Miss)",TUTORIAL,1.36462604054557,103.86575167462401
Achievers Dream Learning Centre,"9 Jalan Bingka #01-01 Mayfair Park , Singapore 588905",96964881,NA,NA,NA,admin@achieversdream.com.sg,"Lie Yan Cong, Jerald",TUTORIAL,1.34074991501411,103.779754690994
Achievers Journey Tuition Centre,"Blk 406 Jurong West Street 42 #01-595  , Singapore 640406",64256771,NA,NA,NA,achieversjourney@gmail.com,"Han Jie Yun, Jessy (Mdm)",TUTORIAL,1.35431435538399,103.722395940054
Achievia Education Hub,"Blk 129 Kim Tian Road #01-133  , Singapore 160129",67951193,NA,NA,NA,enquiry@achievia.com.sg,"Koh Ji Gang, Derrick",TUTORIAL,1.2811530312289099,103.828856188305
Acropolis English Language Centre,"Blk 261 Waterloo Street #02-42  , Singapore 180261",63444494,NA,63363964,NA,aisah@acropolis.com.sg,Aisah Matthew (Mrs),LINGUISTICS,1.29878252408745,103.852021668867
Acuteen Learning Hub,"Blk 856E Tampines Street 82 #01-208  , Singapore 525856",67860574,NA,67860574,NA,info@acuteen.com.sg,Sng Siew Tin (Mdm),TUTORIAL,1.35291726067427,103.938794717769
Adam Khoo Learning Centre (River Valley),"491 River Valley Road #01-10 Valley Point Shopping Centre , Singapore 248371",67349431,NA,NA,NA,rivervalley@aklc.com,"Chua Puay Joo, Lily (Mdm)",TUTORIAL,1.29303600932875,103.82706906705799
Advanced Learning Centre,"Blk 553 Hougang Street 51 #B1-270  , Singapore 530553",63875997,NA,63283348,NA,"NA",Allan Tan Hock Huat,TUTORIAL,1.37912950419351,103.890376362574
Aekedim Tutorial Centre,"11 Sin Ming Road #B1-21/24 Thomson V Two , Singapore 575629",69700089,NA,NA,NA,aekedimtutorial@gmail.com,Woo Chooi Yin (Ms),TUTORIAL,1.3534166099506,103.83554715652399
Aestral Private School,"Blk 273 Bukit Batok East Avenue 4 #02-80  , Singapore 650273",65674119,NA,NA,NA,info@aestral.edu.sg,Ratna Ramachandran,TUTORIAL,1.3484226452998602,103.75757923226801
Affinity Education Place,"420 North Bridge Road #06-33 North Bridge Centre , Singapore 188727",65540236,NA,NA,NA,affinityep@hotmail.com,Quek Ee Meng,ENRICHMENT,1.29722778327746,103.85494555505
AFI Education Centre,"Blk 5 Everton Park #01-30  , Singapore 080005",63279628,NA,63279398,NA,afiedu@singnet.com.sg,Chen Ivy (Mdm),TUTORIAL,1.27668433818668,103.839459108754
Afterskool Learning Centre,"Blk 31 Holland Close #01-215  #01-217, Singapore 270031",66567781,NA,NA,NA,peggy@afterskool.com.sg,"Lee Jun-Shen, Alex",TUTORIAL,1.3069752683276201,103.797080329252
Agape Learning Centre,"Blk 118 Aljunied Avenue 2 #01-138  , Singapore 380118",67448281,NA,67448281,NA,office@agapelearning.sg,Chong Hon Leong,TUTORIAL,1.32000040187833,103.88736306467699
Agape Music School,"Blk 203 Hougang Street 21 #06-33+H92-67  , Singapore 530203",62861358,NA,62861358,NA,myagapems@yahoo.com,Yeh Eng Siong,FINE ARTS,1.35816293570102,103.884400266646
AGP Education Centre [fka Le Hua Tutorial Centre],"405 Joo Chiat Road #01-01 Joo Chiat Community Club , Singapore 427633",97802856,NA,NA,NA,maylee_d_m@yahoo.com.sg,Li Dongmei (Ms),TUTORIAL,1.30745721061602,103.904168861566
AGrader Learning Centre,"6 Jurong West Avenue 1 #B1-00 Jurong Green Community Club , Singapore 649520",65672377,NA,NA,NA,admin@agrader.sg,Soh Ee-Kjan,TUTORIAL,1.3505560390283,103.725341552003
Agraganya Centre for Education,"55 Siglap Road #02-22 Siglap Centre , Singapore 455871",97854949,NA,NA,NA,agraganya@hotmail.com,Vani Gunasingham (Mrs),TUTORIAL,1.31258172942665,103.923250207297
Ai Zi Learning Centre,"Blk 206 Toa Payoh North #01-1207  , Singapore 310206",62568843,NA,62510140,NA,aizilearningcentre@gmail.com,Long Yee Leng (Mdm),TUTORIAL,1.34231481526301,103.846508898326
AIM Learning Hub,"Blk 163 Ang Mo Kio Avenue 4 #01-424  , Singapore 560163",68869168,NA,NA,NA,nicklaus@aimlearning.com.sg,Tan Chin Giap,TUTORIAL,1.3735485391993,103.83817647139799
Aim-A Tuition Centre,"Blk 230 Choa Chu Kang Central #B1-163  , Singapore 680230",67621163,NA,NA,NA,"NA",Goh Lee Hong (Miss),TUTORIAL,1.3803825813434898,103.746190535886
Aim-A Tuition Centre (Pasir Ris),"Blk 220 Pasir Ris Street 21 #01-170  , Singapore 510220",65826455,NA,NA,NA,"NA",Goh Lee Hong (Miss),TUTORIAL,1.36987234164767,103.961582597621
All Nihon Japanese Language Centre,"Blk 114 Ang Mo Kio Avenue 4 #01-365 Kebun Baru Heights , Singapore 560114",69097507,NA,NA,NA,anjlanguage@yahoo.co.jp,Neo Chee Keong,LINGUISTICS,1.37257962452706,103.836220813247
Allegro Education Centre,"Blk 198 Punggol Field #02-05  , Singapore 820198",68756971,NA,68756971,NA,allegroeducation@gmail.com,"Ng Jing Yi, Alethea (Mdm)",TUTORIAL,1.39950942350342,103.906371604675
Alliance Education Centre,"2 Jalan Lokam #01-12 Kensington Square , Singapore 537846",68817644,NA,NA,NA,enquiries@alliance-edu.sg,Chen Yong,TUTORIAL,1.3456077216558897,103.88269585212
Alpha Language School,"20 Maxwell Road #08-11 Maxwell House , Singapore 069113",97624040,NA,NA,NA,wordwiseconsultancy@gmail.com,Du Meiting (Ms),LINGUISTICS,1.2789992430996497,103.84467992008601
Andrew Er Learning Hub,"16A Yio Chu Kang Road #01-16A  , Singapore 545528",63822927,NA,63822972,NA,aelearninghub@gmail.com,Andrew Er,TUTORIAL,1.35472080777663,103.877691576896
Andrew Yap Education Centre,"Blk 302 Ang Mo Kio Avenue 3 #01-1842  , Singapore 560302",83881912,NA,NA,NA,tuitionprince@yahoo.com,"Yap Yew Sun, Andrew",TUTORIAL,1.36708983179046,103.845660199054
AOBA Language Centre,"91 Bencoolen Street #02-04 Sunshine Plaza , Singapore 189652",63340123,NA,63342664,NA,info@aoba.com.sg,Tsuchiya Kazue (Ms),LINGUISTICS,1.30036996547836,103.851068824633
Apcot Learning Centre,"Blk 135 Jurong East Street 13 #04-339  , Singapore 600135",64400050,NA,64404172,NA,ablc7777@singnet.com.sg,"Goh Whee Noi, Josephine (Ms)",ENRICHMENT,1.33382540744502,103.739676885744
Apeiron Education Centre,"Blk 519 Jurong West Street 52 #01-159  , Singapore 640519",66742131,NA,NA,NA,enquiry@apeironeducation.com.sg,Chee Po Lean (Mdm),TUTORIAL,1.3455381057090101,103.717583192064
Apex Educational Centre,"Blk 806 Hougang Central #03-148  , Singapore 530806",63869006,NA,NA,NA,"NA",Liew Kim Tiong,TUTORIAL,1.37107840264494,103.894100080287
Apple Plus School,"170 Upper Bukit Timah Road #B2-07 Bukit Timah Shopping Centre , Singapore 588179",62861518,NA,62861518,NA,appleplusschool@yahoo.com.cn,Geng Changqing (Mdm),ENRICHMENT,1.3433207894929902,103.775854160806
Apple Plus School (Jurong),"6 Jurong West Avenue 1 #02-03 Hong Kah East Community Club , Singapore 649520",65694728,NA,NA,NA,Jurong@appleplusschool.com.sg,Poh Boon Yan (Mdm),ENRICHMENT,1.3505560390283,103.725341552003
Apple Plus School (Serangoon),"10A Maju Avenue Serangoon Garden Estate , Singapore 556688",62851598,NA,62851598,NA,appleplusschool@yahoo.com.cn,Geng Changqing (Mdm),ENRICHMENT,1.36487485404681,103.865754316147
Apple Plus School (Tampines),"1 Tampines Central 5 #03-14 CPF Tampines Building , Singapore 529508",62601528,NA,62601528,NA,appleplusschool@yahoo.com.cn,Geng Changqing (Mdm),ENRICHMENT,1.3531003516819298,103.943743442837
Apple Plus School (West Coast),"Blk 721 Clementi West Street 2 #01-122  , Singapore 120721",67779976,NA,67779976,NA,lynn.mindsbuild@gmail.com,Ang Mui Ling (Miss),ENRICHMENT,1.30246202649443,103.76455528993799
A-Prime Learning Centre,"557 Bukit Timah Road #02-08 Crown Centre , Singapore 269694",64670300,NA,63486610,NA,"NA",Kok Chee Kiong,TUTORIAL,1.3230264523271298,103.811154868161
Arts of the Earth Learning Hub,"Blk 268 Upper Bukit Timah Road #01-09  , Singapore 588210",63148481,NA,63148481,NA,info@artsoftheearth.com,"Joosa, Esther Cornelia nee Kok (Mrs)",ENRICHMENT,1.34986709468478,103.770875302314
Artstratosphere Music School,"1124 Serangoon Road  , Singapore 328208",62841092,NA,62841094,NA,manager@artstratosphere.com,Thum Soon Boon,FINE ARTS,1.32454402566716,103.86569971749
Ascend Learning Centre,"Blk 508 Bishan Street 11 #01-390A (2nd Storey)  , Singapore 570508",63543391,NA,NA,NA,"NA",Leong Ann May (Miss),TUTORIAL,1.34864375581743,103.84931444563699
Ascensia Learning Centre,"1 Fusionopolis Way #B2-02/03/04/05 Connexis , Singapore 138632",64725640,NA,67738796,NA,tanwn@ascensia.com.sg,Tan Wee Nam (Miss),TUTORIAL,1.29915016452266,103.787581248768
Asia Music School,"Blk 925 Yishun Central 1 #01-231  , Singapore 760925",67561265,NA,67561265,NA,asiamusic@live.cn,Gao Yujing (Miss),FINE ARTS,1.4282308512258401,103.837450252524
Asia Music School (West Coast Branch),"154 West Coast Road #01-61 West Coast Plaza , Singapore 127371",67795065,NA,67782367,NA,asiamusic@live.cn,Gao Yujing (Mdm),FINE ARTS,1.3035826813592,103.765284515616
Aspen Learning Centre,"(Main) 80 Marine Parade Road #07-09 Parkway Parade , Singapore 449269",68832338,NA,68832298,NA,mayyin@aspen.com.sg,Tay May Yin (Mdm),TUTORIAL,1.30115259939855,103.90528181677799
Aspen Learning Centre,"231A Victoria Street, 2nd Storey Bugis Village , Singapore 188025",68832338,NA,NA,NA,mayyin@aspen.com.sg,Tay May Yin (Mdm),TUTORIAL,1.30003475817369,103.85493507127501
Aspire Hub Education Academy,"(Main) 23 Serangoon Central #04-79 Nex , Singapore 556083",66342412,NA,66342414,NA,enquiries@aspirehub.com,Tan Tow Chun,TUTORIAL,1.3506755212032,103.871861615443
Aspire Hub Education Academy,"61 Ang Mo Kio Avenue 8 #03-04/05  , Singapore 569814",62744063,NA,NA,NA,enquiries@aspirehub.com,Tan Tow Chun,TUTORIAL,1.37178551879646,103.84777572380301
Aspire Hub Education School [fka Aspire Hub Learning Centre],"(Main) Blk 122 Bukit Merah Lane 1 #01-54/56/58  , Singapore 150122",63777315,NA,62722538,NA,info@aspirehub.com,Tan Tow Chun,TUTORIAL,1.28645881899761,103.80420024671601
Aspire Hub Education School [fka Aspire Hub Learning Centre],"144 Upper Bukit Timah Road #03-06A Beauty World Centre , Singapore 588177",63777319,NA,NA,NA,info@aspirehub.com,Tan Tow Chun,TUTORIAL,1.3424126418864297,103.776539385678
Aspire Hub Education School [fka Aspire Hub Learning Centre],"Blk 482 Jurong West Street 41 #01-258  , Singapore 640482",63777319,NA,NA,NA,info@aspirehub.com,Tan Tow Chun,TUTORIAL,1.34720271520877,103.72476857245701
Asta School of Business & Technology [fka Growth Language Centre],"Blk 131 Jurong Gateway Road #04-265  #04-267, Singapore 600131",65670123,NA,65610024,NA,admin@astaschool.edu.sg,Tan Chun Wei (Mdm),INFORMATION TECHNOLOGY,1.33451257383281,103.74017751892599
Axcell Tuition Centre,"Blk 171 Stirling Road #01-1113  , Singapore 140171",64756513,NA,NA,NA,axcell.edu@gmail.com,Lau Boon Long,TUTORIAL,1.29073246202286,103.803846934678
Axcell Tuition Centre (Jurong East),"Blk 237 Jurong East Street 21 #01-400  , Singapore 600237",64255284,NA,NA,NA,axcell.jurongeast.edu@gmail.com,Lau Boon Long,TUTORIAL,1.34071089584169,103.741213160816
AZKEN Learning Center,"Blk 163 Ang Mo Kio Avenue 4 #01-430  , Singapore 560163",64520747,NA,NA,NA,enquiries@azken.com.sg,Ho Mei Yee (Mdm),TUTORIAL,1.3735485391993,103.83817647139799
Balestier-Whampoa Learning Centre,"221 Balestier Road #02-06 Rocca Balestier , Singapore 329928",62566621,NA,NA,NA,nurture@advanced-learners.com,Ng Kong Phui,ENRICHMENT,1.32129563232503,103.85252610952801
Bamboo Green Education Hub,"Blk 809 Hougang Central #03-178  , Singapore 530809",69883144,NA,NA,NA,bamboogreen.hg@gmail.com,Tan Sin Ming,TUTORIAL,1.3711960330110902,103.89366816379999
Banyan Tree Education Centre,"Blk 111 Jalan Bukit Merah #01-1674/76  , Singapore 160111",62768817,NA,NA,NA,bojun0417@hotmail.com,Bo Jun (Mdm),TUTORIAL,1.28032113621851,103.82618585443599
Basecamp Learning Centre,"865 Mountbatten Road #05-01 Katong Shopping Centre , Singapore 437844",68143787,NA,NA,NA,admin@basecamp.sg,"Wong Weng Kuan, Caleb",TUTORIAL,1.30381323460709,103.90095207723301
Beacon Plus Education Centre,"70 Martaban Road  , Singapore 328667",63385595,NA,68844895,NA,lee@beacon.edu.sg,Lee Hian @ Lee Yock Eng (Mdm),TUTORIAL,1.3230245720211398,103.84966233114599
Beautyful Minds Educational Centre,"80 Marine Parade Road #14-07 Parkway Parade , Singapore 449269",63444908,NA,NA,NA,zzneo@beautyfulminds.com.sg,Cheong Chew Ling (Miss),TUTORIAL,1.30115259939855,103.90528181677799
Bedok Central Learning Centre,"Blk 203 Bedok North Street 1 #01-459 (2nd Storey)  , Singapore 460203",64489133,NA,64489133,NA,lawtsang@singnet.com.sg,Lim Hui Kiang (Miss),ENRICHMENT,1.32574461342218,103.929194613757
Beijing Language School,"(Main) Blk 118 Rivervale Drive #02-21/22 Rivervale Plaza , Singapore 540118",63159719,NA,NA,NA,beijinglanguage@yahoo.com.sg,Lu Yan (Mdm),LINGUISTICS,1.38537151608701,103.901849634797
Beijing Language School,"1 Jurong West Central 2 #01-17A Jurong Point , Singapore 648886",69049934,NA,65870751,NA,beijinglanguage@yahoo.com.sg,Lu Yan (Mdm),LINGUISTICS,1.3394520043632099,103.706685012926
Beijing Language School,"1 Pasir Ris Central Street 3 #05-04  , Singapore 518457",65820949,NA,NA,NA,beijinglanguage@yahoo.com.sg,Lu Yan (Mdm),LINGUISTICS,1.37239898072244,103.949749226457
Beijing Language School,"2 Sengkang Square #01-04  , Singapore 545025",63159719,NA,NA,NA,beijinglanguage@yahoo.com.sg,Lu Yan (Mdm),LINGUISTICS,1.39262209345058,103.894192083207
Beijing Language School,"83 Punggol Central #02-01 Watertown , Singapore 828761",63158406,NA,NA,NA,beijinglanguage@yahoo.com.sg,Lu Yan (Mdm),LINGUISTICS,1.40648143439085,103.902073294574
Beijing Language School,"Blk 168 Punggol Field #04-08B Punggol Plaza , Singapore 820168",63158405,NA,NA,NA,beijinglanguage@yahoo.com.sg,Lu Yan (Mdm),LINGUISTICS,1.3941840943827302,103.91297643758301
Beijing Language School,"Blk 477 Tampines Street 43 #01-176  , Singapore 520477",65870752,NA,NA,NA,beijinglanguage@yahoo.com.sg,Lu Yan (Mdm),LINGUISTICS,1.36092155092893,103.95289212479601
Bentley Education Centre,"192 Waterloo Street #07-02/03/04/05 Skyline Building , Singapore 187966",63385611,NA,63382545,NA,joddypang@hotmail.com,Pang Phui Kay (Miss),ENRICHMENT,1.30121688920282,103.85319686723
Berlitz Language Centre,"391B Orchard Road #16-01/02 Tower B Ngee Ann City , Singapore 238874",67337472,NA,67337805,NA,study@berlitz.com.sg,Bajan Kur @ Polly Kur Chan (Mdm),LINGUISTICS,1.30242417189412,103.83467612472299
Berries World of Learning School (AR),"460 Alexandra Road #03-02/03 PSA Building , Singapore 119963",62711755,NA,62711154,NA,Alexandra@berriesworld.com,"Chiew Eng Lay, Mandy (Mdm)",LINGUISTICS,1.27369890868002,103.801277776077
Berries World of Learning School (BB),"21 Bukit Batok Central #02-02 Bukit Batok Community Club #03-03/04, Singapore 659959",65622232,NA,65659768,NA,bukitbatok@berriesworld.com,Liew Tsuey Fung (Mdm),LINGUISTICS,1.35019080802379,103.74751439241699
Berries World of Learning School (BJ),"Blk 134 Jurong Gateway Road #03-309R  , Singapore 600134",68972232,NA,64660005,NA,berriesbj@singnet.com.sg,Liew Tsuey Fung (Mdm),LINGUISTICS,1.3339941384974299,103.738819152518
Berries World of Learning School (CW),"154 West Coast Road #B1-19A West Coast Plaza , Singapore 127371",67758990,NA,67736393,NA,westcoast@berriesworld.com,Doreen Koh (Mdm),LINGUISTICS,1.3035826813592,103.765284515616
Berries World of Learning School (CW612),"Blk 612 Clementi West Street 1 #01-296/298  , Singapore 120612",62509183,NA,62509539,NA,westcoast612@berriesworld.com,Koh Doreen (Mdm),LINGUISTICS,1.30344219853701,103.76863336552499
Berries World of Learning School (DBY),"293 Lorong 6 Toa Payoh #02-04 SAFRA Clubhouse , Singapore 319387",62522110,NA,62524300,NA,tpysafra@berriesworld.com,"Li Wai Lan, Wynne (Mdm)",LINGUISTICS,1.3298865170877099,103.854213740191
Berries World of Learning School (International) [fka Children's Language School],"Blk 308 River Valley Road #01-02/03/04  , Singapore 238349",67359628,NA,67358257,NA,berriesintl@berriesworld.com,"Li Wai Lan, Wynne (Mdm)",LINGUISTICS,1.2956310265753401,103.841615089993
Berries World of Learning School (JKB),"107 & 109 Jalan Kembangan  , Singapore 419145",62435525,NA,NA,NA,kembangan@berriesworld.com,"Li Wai Lan, Wynne (Mdm)",LINGUISTICS,1.32521284191873,103.91322425535601
Berries World of Learning School (JT11),"Blk 507 Bishan Street 11 #01-392/394/396 (2nd Storey)  , Singapore 570507",62548225,NA,64513774,NA,"yanyi@clsintl,com","Li Wai Lan, Wynne (Mdm)",LINGUISTICS,1.3488991959036,103.849278973916
Berries World of Learning School (JT23),"Blk 221 Bishan Street 23 #B1-183  , Singapore 570221",62548225,NA,NA,NA,berriesjt23@berriesworld.com,"Li Wai Lan, Wynne (Mdm)",LINGUISTICS,1.3578412046222401,103.848940368039
Berries World of Learning School (KB),"5 Lengkong Tiga #02-01 Kampong Kembangan Community Club , Singapore 417408",62435822,NA,62436169,NA,kembangancc@berriesworld.com,"Li Wai Lan, Wynne (Mdm)",LINGUISTICS,1.32313367852177,103.912726547104
Berries World of Learning School (MB),"231 Mountbatten Road #03-07/08 Mountbatten Centre, Block A , Singapore 397999",62477276,NA,62477800,NA,berriesmb@berriesworld.com,"Li Wai Lan, Wynne (Mdm)",LINGUISTICS,1.30851414537224,103.88091032046499
Berries World of Learning School (NE),"Blk 837 Hougang Central #01-527  , Singapore 530837",63851614,NA,63851614,NA,bhougang@singnet.com.sg,Ang Guan Seng,LINGUISTICS,1.3693102301923998,103.891525281691
Berries World of Learning School (PCC),"1187 Upper Serangoon Road #02-22/23/24 The Midtown , Singapore 533971",63873008,NA,NA,NA,punggolcc@berriesworld.com,Ang Guan Seng,LINGUISTICS,1.3704794096510902,103.89512846692301
Berries World of Learning School (TAS),"101 Cantonment Road #01-03 Tanjong Pagar Community Club , Singapore 089774",62200078,NA,62200755,NA,tanjongpagarcc@berriesworld.com,Ng Sock Ling (Mdm),LINGUISTICS,1.27616699264022,103.841584207472
Berries World of Learning School (TCC),"Blk 3 Queen's Road #02-149 & #02-157  #02-147, Singapore 260003",62562070,NA,64734663,NA,tanglincc@berriesworld.com,"Li Wai Lan, Wynne (Mdm)",LINGUISTICS,1.3183333722131398,103.808097181789
Berries World of Learning School (Thomson),"Blk 116 Bishan Street 12 #01-26  , Singapore 570116",65541729,NA,63257450,NA,bishan@berriesworld.com,"Li Wai Lan, Wynne (Mdm)",LINGUISTICS,1.3478007201456397,103.849316086687
Berries World of Learning School (TPCL),"2 Tampines Central 6 #05-01/02 NTUC Income Tampines Point , Singapore 529483",67828878,NA,67898878,NA,bwtpcl@singnet.com.sg,Ang Siang Hwee (Mdm),LINGUISTICS,1.35277432657664,103.94249906226801
Berries World of Learning School (Tpn) [fka Children's Language School (Tampines)],"1 Pasir Ris Close #03-111 E!Hub@Downtown East , Singapore 519599",67830873,NA,63846224,NA,tampines@berriesworld.com,Ang Siang Hwee (Mdm),LINGUISTICS,1.3791271787801103,103.955444758145
Berries World of Learning School (WDL),"18 Yishun Avenue 9 #01-78/79 & #01-82 Junction Nine , Singapore 768897",63631231,NA,NA,NA,berrieswdl@berriesworld.com,Chan Poe Mun (Ms),LINGUISTICS,1.43306021695328,103.841649364872
Berries World of Learning School (WG),"Blk 991 Buangkok Link #03-01/02/06  , Singapore 530991",65703454,NA,NA,NA,berrieswg@berriesworld.com,"Li Wai Lan, Wynne (Mdm)",LINGUISTICS,1.38433426615657,103.881623070164
Best Mathematics Tuition Centre,"170 Upper Bukit Timah Road #04-41 Bukit Timah Shopping Centre p, Singapore 588179",67638836,NA,NA,NA,best_maths_tc@yahoo.com.sg,Tan Swee Leong,TUTORIAL,1.3433207894929902,103.775854160806
Best Physics Tuition Centre,"Blk 261 Waterloo Street #02-20 Waterloo Centre , Singapore 180261",87009189,NA,NA,NA,sgphysicscoach@gmail.com,Chee Yu Ping,TUTORIAL,1.29878252408745,103.852021668867
Beyond Language School,"402 Orchard Road #05-04 Delfi Orchard , Singapore 238876",68844606,NA,NA,NA,admin@beyondlanguage.com.sg,Yong Chui Foong (Mdm),LINGUISTICS,1.30717805424683,103.82846871251999
Bibinogs Kids Academy,"10 Jalan Serene #02-05/06 Serene Centre , Singapore 258748",64668015,NA,NA,NA,playlearning@bibinogs.com,"Cowden, Melissa Ann (Mdm)",ENRICHMENT,1.3225953918961202,103.813698681482
BlackBox Learning Centre,"1 Woodlands Road #02-01 Ten Mile Junction , Singapore 677899",68771698,NA,NA,NA,"NA","Chan Siew Lin, Cleophina (Miss)",TUTORIAL,1.38060512473526,103.760041583169
BlackBox Learning Centre (Thomson),"10 Jalan Gelenggang Sembawang Hills Estate , Singapore 578191",64551665,NA,NA,NA,bbox@pacific.net.sg,"Chan Siew Lin, Cleophina (Mdm)",TUTORIAL,1.3731404422648799,103.83018485409599
Blessed Kidz Learning Hub,"180 Kitchener Road #07-06 City Square Mall , Singapore 208539",66345618,NA,NA,NA,blessedkidzlearning@gmail.com,"Lee Mei Chun, Pearlyn (Mdm)",TUTORIAL,1.31127324736076,103.856648251388
Bloom School of Music and Arts,"Blk 528 Ang Mo Kio Avenue 10 #02-2387  , Singapore 560528",67560901,NA,62755113,NA,rrmusic@live.com.sg,Sia Ching Chiah (Mdm),FINE ARTS,1.3725978065858502,103.85487821147
Blooms Academy,"116 Middle Road #05-02 ICB Enterprise House , Singapore 188972",97117363,NA,NA,NA,angjeffrey@gmail.com,Ang Jeffrey,TUTORIAL,1.29927530958544,103.85352044032
